,Villain
0,Malekith
1,Dormammu
2,Ivan Vanko
3,Aldrich Killian
4,Ronan the Accuser
5,Justin Hammer
6,Abomination
7,Ayesha
8,Yon-Rogg
9,Obadiah Stane
10,Ghost
11,Kaecilius
12,Arishem
13,Thaddeus “Thunderbolt” Ross
14,Dreykov
15,Yellowjacket
16,Trevor Slattery
17,Taskmaster
18,Alexander Pierce
19,Red Skull
20,Ulysses Klaue
21,Ego
22,Kang the Conqueror
23,Winter Soldier
24,Ultron
25,Hela
26,Gorr the God Butcher
27,Mysterio
28,Grandmaster
29,Helmut Zemo
30,Vulture
31,Namor
32,Wanda Maximoff
33,Green Goblin
34,Loki
35,Xu Wenwu
36,Killmonger
37,Thanos
